sample,FG001,FG002,FG003,FG004,FG005,FG006,FG007,FG009,FG010,FG011,FG013,FG014,FG015,FG016,FG017,FG018,FG019,FG021,FG024,FG026,FG027,FG031,FG032,FG033,FG034,FG035,FG100_B,FG101_B,FG102_B,FG103_B,FG104_B,FG106,FG107,FG108,FG109,FG111,FG201,FG202,FG203,FG204,FG205,FG206,FG207,FG209,FG210,FG211,FG212,Q314,Q316,Q318,Q323,Q324,Q325,Q326,Q330,Q332,Q334,Q338,Q339,Q347,Q351,Q352,Q353,Q354,Q355,Q356
57,0101,0104,0104,0412,0103,0101,0410,0101,0104,0110,0101,0404,0104,0104,0103,0103,1014,0104,0101,0104,0104,0000,0104,0105,0404,0103,0101,0000,0103,0107,0101,0112,0304,0104,0101,0104,0304,0104,0111,0101,0314,0710,0104,0409,0304,0104,0000,0103,0408,0110,0109,0101,0103,0404,0101,0103,0410,0101,0101,0101,0000,0104,0101,0412,0203,0104
62,0405,0305,0509,0303,0909,0509,0509,0511,0309,0509,0505,0000,0000,0909,0405,0909,0404,0000,0309,0505,0409,0405,0909,0505,0505,0509,0305,0506,0000,0405,0509,0507,0000,0505,0509,0509,0505,0909,0509,0509,0505,0509,0507,0509,0512,0408,0509,0305,0505,0505,0509,0509,0909,0509,0909,0911,0505,0000,0509,0305,0409,0000,0510,0709,0708,0313
63,0405,0305,0305,0305,0507,0505,0505,0305,0305,0303,0506,0405,0505,0303,0303,0505,0405,0505,0405,0305,0505,0000,0505,0505,0506,0505,0303,0305,0303,0505,0505,0305,0305,0305,0305,0305,0305,0405,0305,0303,0505,0306,0505,0505,0405,0305,0505,0105,0405,0505,0505,0505,0505,0304,0305,0203,0303,0505,0506,0304,0305,0506,0000,0405,0305,0303
71,0404,0204,0404,0404,0204,0204,0404,0404,0404,0000,0405,0404,0404,0404,0404,0404,0404,0404,0404,0000,0404,0404,0404,0104,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0204,0404,0404,0404,0304,0204,0404,0404,0404,0404,0404,0404,0404,0404,0204,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404
75,0606,0406,0404,0404,0606,0000,0406,0505,0606,0404,0406,0404,0606,0406,0000,0406,0404,0606,0606,0606,0606,0000,0606,0406,0404,0000,0606,0606,0505,0606,0406,0606,0406,0606,0404,0506,0606,0606,0406,0606,0406,0406,0406,0606,0606,0606,0606,0606,0000,0606,0106,0404,0000,0606,0606,0204,0404,0606,0404,0606,0406,0000,0506,0406,0606,0606
77,0303,0304,0000,0303,0303,0303,0303,0303,0000,0303,0303,0303,0303,0303,0303,0303,0303,0000,0000,0303,0000,0000,0707,0303,0303,0304,0303,0303,0303,0303,0103,0000,0303,0303,0303,0307,0303,0303,0303,0303,0203,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0707,0308,0303,0303,0303,0303,0303,0209,0303,0303,0000,0303,0303,0000
79,0303,0202,0202,0000,0303,0303,0303,0303,0202,0000,0000,0303,0303,0303,0404,0303,0505,0303,0303,0303,0303,0303,0000,0303,0202,0202,0303,0203,0202,0303,0202,0303,0303,0303,0202,0203,0303,0305,0303,0303,0303,0303,0303,0303,0000,0202,0303,0000,0202,0101,0303,0303,0303,0303,0202,0202,0203,0000,0000,0304,0202,0303,0303,0303,0203,0203
80,0707,0405,0000,0405,0000,0506,0505,0505,0506,0000,0105,0506,0505,0505,0505,0505,0505,0206,0506,0505,0606,0506,0505,0505,0505,0606,0505,0505,0505,0505,0506,0505,0505,0606,0506,0505,0505,0000,0506,0505,0506,0505,0505,0606,0303,0506,0205,0507,0000,0505,0606,0505,0505,0606,0505,0505,0506,0505,0505,0606,0000,0505,0000,0505,0505,0505
84,0505,0407,0106,0707,0505,0303,0407,0205,0106,0105,0607,0107,0107,0506,0608,0507,0000,0000,0606,0707,0507,0707,0106,0505,0607,0507,0607,0000,0000,0606,0105,0507,0606,0505,0606,0506,0107,0606,0107,0606,0000,0606,0000,0000,0000,0505,0606,0101,0101,0506,0505,0607,0606,0607,0506,0507,0606,0707,0606,0707,0707,0707,0606,0505,0507,0606
86,0104,0101,0101,0101,0101,0101,0104,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0000,0101,0104,0101,0101,0101,0104,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0104,0104,0103,0101,0101,0101,0101,0101,0101,0101,0101,0104,0101,0101,0102,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0104,0101,0101
89,0202,0606,0606,0606,0606,0606,0606,0206,0606,0606,0606,0506,0606,0606,0000,0202,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0506,0505,0606,0606,0707,0306,0606,0606,0606,0606,0707,0606,0606,0606,0606,0506,0606,0506,0606,0506,0606,0404,0606,0606,0506,0606,0000,0606,0606,0606,0606,0606,0101,0404,0606,0606,0000,0606,0606,0606
92,0000,0000,0202,0202,0209,0211,0202,0208,0209,0000,0808,0202,0202,0207,0202,0909,0209,0209,0202,0202,0809,0202,0202,0000,0209,0202,0203,0909,0209,0202,0202,0202,0202,0202,0202,0202,0202,0210,0209,0102,0202,0202,0209,0202,0202,0000,0206,0202,0202,0209,0202,0202,0209,0209,0202,0209,0202,0202,0202,0909,0209,0212,0202,0202,0209,0209
93,0406,0404,0404,0404,0408,0404,0404,0404,0404,0404,0404,0404,0404,0404,0406,0606,0404,0404,0404,0406,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0000,0404,0404,0505,0404,0304,0406,0404,0406,0404,0404,0404,0404,0404,0404,0404,0404,0406,0404,0404,0404,0404,0404,0404,0404,0404,0406,0607,0404,0404,0404,0204,0000
94,0202,0202,0000,0000,0202,0202,0204,0202,0202,0202,0202,0000,0202,0202,0202,0000,0204,0202,0202,0204,0202,0000,0202,0204,0202,0204,0000,0204,0202,0202,0202,0000,0202,0202,0202,0102,0202,0202,0202,0204,0204,0202,0000,0000,0202,0202,0202,0202,0204,0204,0000,0204,0202,0202,0202,0202,0202,0000,0202,0204,0202,0204,0202,0202,0202,0202
95,1111,0000,1111,0000,1111,1111,0000,1116,0000,1111,1111,1111,1111,1115,1111,0000,1111,1414,1111,0000,0909,0000,1111,0707,1616,1111,1111,0211,1111,1111,1111,1111,0513,1111,0000,1111,1111,0411,1111,1111,1111,1111,1111,1111,1515,0808,1111,1111,1111,1111,1111,1111,0611,1111,1111,1111,1111,0000,1010,1111,0611,0411,1111,0311,1111,1212
96,1414,1414,0514,1414,1414,0000,1414,1014,0000,1414,1014,1414,1414,0814,1010,0414,1010,0414,1414,0000,1414,1414,1414,1414,1414,0000,1414,1414,1414,1414,1414,0114,1414,0414,0000,0000,0000,1114,1414,0000,0607,1314,0414,1414,0000,0303,0914,1014,1415,1414,1414,1414,1717,1414,1414,0414,1414,1414,1414,1214,0414,1414,0000,1818,0814,1414
100,1010,0710,1013,0000,0101,0404,0411,1010,0404,0101,0404,1515,1010,1010,1010,1010,0000,0000,0808,1111,1010,1010,0000,1010,0000,0405,0404,1011,1010,1010,1313,1616,0909,1113,1010,1010,0808,1010,1010,1010,1010,1010,1013,0000,0000,0611,1010,0610,0505,1014,0405,0000,0306,0606,1010,0404,0808,0710,1010,0413,1313,0000,1010,0000,0710,0404
101,1010,0000,1010,0210,0910,0000,1010,0000,1010,0210,1010,1010,1010,0810,0810,1010,1010,1018,1010,1012,1010,1010,1010,1010,0810,0810,1010,0810,1010,1010,1010,1010,0310,1010,1010,1010,1010,0110,1010,1017,1010,0210,0810,1010,1010,0210,1010,1010,1010,0210,1010,1010,0000,1015,1010,1010,1010,0000,0000,1012,1010,1010,1010,0410,1010,1014
111,0909,0909,0909,0000,0709,0909,0910,0914,0109,0109,0913,1010,0409,0505,0909,0000,0000,0509,0509,0309,0309,0909,0909,0909,0909,0405,0000,0909,0409,0909,1010,0109,0909,0914,1114,0915,0109,0409,0910,0409,0509,0409,0909,0909,0000,0914,0000,0309,1214,0910,0406,0909,0909,0809,0910,0909,0909,0909,0909,0909,0909,0409,0000,0909,0910,0909
112,0606,0606,0606,0606,0606,0606,0000,0606,0606,0606,0606,0606,0606,0606,0606,0606,0607,0606,0606,0606,0606,0606,0606,0606,0606,0607,0606,0606,0606,0607,0606,0607,0707,0406,0607,0606,0606,0206,0606,0000,0506,0606,0000,0306,0606,0606,0606,0606,0707,0606,0606,0606,0606,0606,0606,0606,0606,0000,0606,0606,0606,0606,0606,0607,0106,0606
114,0202,0206,0202,0202,0202,0202,0202,0204,0202,0202,0202,0202,0203,0202,0202,0202,0202,0202,0000,0202,0202,0202,0202,0202,0202,0204,0202,0202,0202,0202,0202,0202,0202,0202,0202,0203,0202,0202,0202,0202,0202,0202,0202,0202,0202,0203,0202,0202,0202,0205,0202,0202,0202,0202,0102,0202,0202,0000,0202,0202,0202,0202,0202,0202,0202,0202
117,0708,0202,0303,0203,0202,0203,0303,0103,0310,0000,0303,0303,0213,0303,0507,0309,0202,0209,0203,1010,0808,0303,0303,0306,0202,0505,0208,0203,0303,0505,0709,0303,0303,0303,0303,1313,0208,0303,0208,0303,0303,0305,0205,0202,0308,0305,0203,0508,0811,0313,0404,0303,0505,0304,0509,0312,0506,0505,1011,0000,0505,0305,1010,0303,0303,1012
119,0306,0606,0606,0608,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0506,0606,0606,0606,0606,0606,0105,0606,0608,0606,0606,0406,0606,0606,0606,0206,0606,0606,0606,0306,0606,0606,0606,0606,0606,0306,0607,0606,0606,0606,0606,0606,0606
122,0000,0913,1313,1313,1315,0913,0913,0909,0913,0909,0909,0509,1313,0000,1515,0000,0909,0913,0913,0813,1313,0000,0913,0109,0000,1313,0909,1313,0409,0909,0918,0913,0213,0913,1313,0913,1313,1314,0909,0909,0911,0616,0000,1313,0913,1313,0909,0309,1313,1018,0913,0913,0916,1313,1213,0913,0000,0909,0000,0713,0813,1313,0000,0909,1313,1313
123,0204,0202,0204,0202,0407,0204,0204,0204,0202,0202,0207,0202,0202,0404,0202,0202,0204,0207,0204,0202,0204,0202,0000,0202,0404,0202,0203,0203,0307,0204,0206,0202,0202,0202,0404,0207,0207,0204,0204,0202,0202,0207,0202,0202,0000,0404,0207,0206,0202,0202,0707,0204,0204,0204,0202,0404,0202,0707,0204,0202,0202,0202,0407,0202,0202,0303
125,0202,0202,0202,0202,0202,0202,0000,0707,0202,0606,0102,0202,0202,0202,0202,0000,0202,0202,0000,0202,0202,0202,0202,0202,0202,0206,0101,0202,0000,0208,0405,0202,0207,0202,0202,0202,0202,0207,0202,0304,0208,0202,0204,0202,0202,0202,0202,0507,0202,0202,0202,0202,0202,0202,0202,0202,0707,0202,0202,0202,0202,0206,0202,0202,0202,0202
127,1111,1111,1111,0000,1111,1117,1111,1111,1111,1111,0411,1111,1111,1111,0000,1011,1111,0411,1111,1111,0000,1111,1111,1011,1111,1111,0000,1111,1111,1111,1011,1111,0511,1111,1111,0408,1116,1111,1111,0000,0206,1111,1111,0411,1111,1111,1111,0411,0811,1113,0405,1011,1111,1111,1111,1111,1111,0000,1515,0000,0303,1111,0000,1111,1114,1111
128,0813,0308,0808,0000,0813,0813,0708,0608,0808,0808,0813,0808,0808,0000,0814,0308,0808,0808,0808,0808,0813,0000,0813,0808,0000,0808,0308,0308,0813,0808,0808,0308,0811,0808,0808,0708,0813,0808,0000,0813,0808,0813,0308,0808,0813,0808,0808,0808,0808,0000,0508,0808,0308,0808,0808,0308,0000,0308,0808,0816,0813,0808,0808,0809,0000,0813
131,0506,0505,0505,0000,0511,0505,0505,0505,0000,0505,0305,0406,0507,0505,0505,0505,0505,0505,0405,0507,0508,0505,0505,0505,0505,0505,0505,0505,0000,0512,0505,0505,0505,0505,0510,0505,0509,0507,0506,0505,0505,0507,0505,0506,0509,0505,0505,0505,0505,0606,0505,0505,0505,0505,0505,0505,0505,0505,0509,0505,0505,0000,0505,0505,0508,0505
134,0000,0909,0909,0909,0909,0707,0909,1717,0209,0909,0909,0909,0920,0909,0909,0909,0918,0809,0919,0914,0915,0909,0909,2121,0909,0809,0000,0909,0911,0919,0707,0000,0920,0808,0909,0909,0920,2020,0909,0909,0913,0202,0909,0418,0918,0303,0909,1819,0909,0909,0616,0000,0909,1618,1818,0909,0909,0909,0912,1818,0909,0920,0909,0909,2020,0910
138,1418,1822,1818,1818,1826,1818,1212,1818,0000,0000,2525,1818,0000,1818,1818,0000,1818,0000,2222,1012,1818,1825,0000,0909,0918,1822,0000,1818,0911,1818,1818,0909,1818,1818,0718,0000,1212,1818,0606,0610,0909,0918,0909,1819,0418,1818,1718,0101,1818,1821,1418,1818,0000,1220,0918,1818,0918,1818,1818,1324,0918,0000,0000,0518,0000,1821
140,1314,1414,1314,0000,1313,1313,1314,0413,1313,0000,1313,0000,1313,0000,0213,1313,0000,1314,1213,1313,1316,0000,1313,1314,1314,1313,1313,1314,1314,1313,1313,1314,1314,1315,1314,0813,0000,0000,1313,1314,0000,1313,1215,1314,0000,0000,1313,1314,1313,1313,1313,1314,1414,1314,1212,1314,0000,0000,1314,0000,1313,1314,0713,0000,0613,0000
147,0311,0101,0306,0000,0303,0606,0303,0000,0303,0303,0303,0307,0303,0303,0000,0306,0303,0303,0404,0303,0303,0000,0000,0303,0000,0303,0303,0306,0303,0303,0303,0303,0303,0303,0000,0303,0303,0308,0306,0404,0310,0606,0303,0000,0303,0303,0303,0305,0202,0303,0303,0303,0103,0303,0303,0303,0306,0707,0303,0606,0303,0000,1212,0312,0000,0303
148,0707,0712,0607,0413,0213,0716,0407,0714,0707,0707,0607,0707,0711,0707,0707,0714,0609,0707,0404,0407,0714,0606,0707,0113,0000,0714,0404,0713,0707,0707,0707,0710,0707,0707,0707,0407,0715,0707,0707,0307,0707,0709,0707,0607,0707,0707,0505,0708,0707,0707,0307,0707,0707,0707,0707,0711,0707,0707,0000,0707,0707,0407,0707,0409,1111,0307
182,1111,1119,1111,1111,1111,0616,1111,1112,1111,1112,1113,1111,0610,0411,1120,1111,1111,1111,1111,1111,0611,1111,1111,0611,1112,1111,1111,1115,0217,1120,0411,0111,1117,1111,1111,1111,1111,1111,1111,1119,1111,1111,1118,1114,1111,1118,0000,1111,1111,0611,1011,1111,0506,0711,1118,0320,0911,1111,1218,0811,1111,0411,1111,1111,1118,1111
183,0000,0412,1212,1515,0714,1212,1212,1212,0000,0404,1215,0404,0202,0707,1214,0215,0707,0509,0312,0202,0808,0000,1313,1212,1212,0712,1215,0215,1212,0707,1313,1515,1012,0115,0202,1213,0000,0202,0404,1212,1212,1212,1010,1414,0606,1214,0000,1213,0213,0712,0606,0000,0202,1215,0000,1414,1212,0000,0212,1212,0000,1212,0202,1215,1515,0212
190,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0405,0404,0404,0404,0404,0404,0404,0404,0102,0104,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0405,0404,0304,0404,0404,0404,0404,0404,0404,0404,0101,0404,0404,0404,0304,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0204,0404,0404,0101,0404,0404,0404
193,0404,0101,0404,0404,0404,0404,0202,0204,0404,0000,0404,0202,0101,0000,0404,0404,0404,0404,0000,0000,0404,0404,0104,0404,0404,0404,0202,0404,0404,0202,0000,0404,0404,0101,0204,0202,0104,0000,0205,0404,0102,0104,0404,0404,0000,0303,0202,0404,0404,0404,0204,0404,0000,0202,0000,0000,0404,0404,0202,0404,0404,0204,0204,0404,0000,0202
196,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0102,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0102,0101,0101,0101,0101,0101,0101,0102,0101,0101,0101,0101
199,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0000,0303,0303,0303,0202,0303,0103,0303,0303,0303,0303,0303,0304,0303,0303,0303,0303,0303,0303,0303,0000,0303,0303,0303
201,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0000,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0000,0202,0202,0202,0102,0202,0202
206,1114,1112,1111,0514,1111,0411,0714,0411,1114,0000,0711,1114,1111,1114,1111,1111,1414,0404,0000,0000,0611,1111,1111,1114,0000,0511,1111,0311,1111,1111,1111,1111,0911,1118,0111,1011,0911,1111,1111,1111,1111,1114,1111,1111,0911,1111,1114,0000,1112,0211,1111,1111,0811,0911,1116,1011,1114,1114,1011,1111,1111,1515,0000,0411,0511,1118
219,0707,0607,1313,0707,0707,0707,0713,0707,0707,0707,0713,0707,0709,0707,0707,0707,0707,0909,0709,0000,0713,0709,0607,0707,0707,0000,0707,0707,0107,0711,0713,1414,0507,0707,0909,0709,0707,0707,0707,0712,0707,0707,0707,0707,0707,0707,0709,0709,0707,0707,0707,0709,0707,0710,0307,0707,0715,0707,0407,0707,0209,0909,0707,0707,0707,0708
220,0311,0101,1111,0311,0111,0812,1111,1111,1111,0000,0404,0303,0000,1111,0311,1111,0309,0710,1112,1111,1111,1111,0104,1111,0404,0211,1111,1111,0911,1111,0911,1111,0412,0505,0707,0911,0303,1111,0211,1111,1111,0311,0000,0111,0106,1111,0311,0711,1111,0911,0101,1111,0303,1112,0911,1111,0404,1111,1111,1111,1111,0111,0000,1111,0411,0311
222,0101,0809,1212,0000,0716,0816,0909,0920,0809,0102,1616,1010,0000,0916,1616,0909,1616,0606,0000,0909,0915,0000,0202,0909,0000,1313,0609,0104,0606,0000,0909,1619,1818,0916,0914,2020,0816,0808,0909,0909,0000,0108,0101,0808,1616,0917,0809,0306,0916,0211,1421,0909,1616,0808,0000,0505,0109,0808,0609,0000,0912,0909,0000,0000,0913,0909
223,0709,0709,0909,0909,0909,0707,0909,0909,0909,0707,0512,0909,0909,0909,0909,0909,0909,0909,0909,0913,0909,0909,0913,0914,0209,0912,0909,0609,0209,0909,0913,0913,0909,0909,0909,0509,0909,0809,0909,0909,0109,0709,0709,0909,0909,0309,0912,0909,0909,0409,0909,0909,0709,0709,0909,0909,0709,0909,0709,0911,0909,0909,0000,0909,0909,0909
224,2229,2222,2226,0000,0505,0822,0000,2225,2222,2222,0324,1111,0000,2222,2929,0522,2222,2024,2222,0000,2222,0322,1522,0000,0322,1922,3030,0000,2222,2226,0222,2222,2222,0333,0101,1919,2121,2222,0422,2224,1622,1010,2222,1730,0909,2228,1524,2222,1822,1432,1422,2222,2222,0622,3030,1314,0000,2222,1122,2222,0331,0312,2525,1919,2223,0427
226,0808,0808,0000,1313,0000,1113,0313,1111,0811,1111,0211,0811,1313,0000,1111,0811,0808,0111,0000,1111,0811,0811,1113,1111,1111,0811,0303,0811,1113,0811,1113,0308,0811,1113,0813,1111,0813,0811,0811,1113,1113,0813,1113,0811,1111,1113,1113,1111,1113,0811,1113,0000,0000,0808,0000,0000,1113,0000,1111,1111,0811,0000,0000,1111,1113,1111
230,0404,0409,0610,0412,0412,0404,0404,0408,1212,1212,0404,1010,0000,0404,0000,0404,1313,0412,0404,0411,1111,1213,1212,0404,0404,0404,0404,0909,0303,0404,0406,0412,0404,0412,0404,0404,0411,0000,0910,0204,0404,0913,0404,1112,0512,0404,0412,0411,0412,1111,0404,0000,1212,0412,0412,0404,0404,0411,0711,0412,0404,0412,0000,0404,0404,0404
234,0404,0000,0303,0202,0202,0303,0303,0304,0404,0000,0404,0304,0404,0000,0404,0000,0303,0000,0202,0404,0404,0303,0304,0202,0303,0303,0404,0404,0304,0404,0404,0303,0000,0303,0404,0303,0303,0404,0303,0304,0404,0304,0303,0304,0304,0404,0304,0303,0000,0303,0406,0104,0404,0404,0303,0404,0303,0202,0303,0507,0707,0304,0000,0808,0202,0202
238,0000,0204,0202,0204,0203,0102,0202,0202,0202,0202,0202,0202,0202,0202,0000,0000,0202,0202,0202,0204,0202,0202,0202,0202,0202,0202,0404,0202,0202,0202,0202,0202,0202,0204,0202,0202,0202,0202,0202,0203,0202,0202,0202,0202,0404,0202,0202,0202,0204,0000,0202,0202,0202,0202,0202,0202,0404,0204,0202,0203,0404,0202,0000,0202,0202,0202
243,0809,0813,0309,0909,0309,0909,0909,0909,0909,0309,0909,0000,0000,0808,0000,0909,0909,0909,0912,0909,0310,0508,0909,0909,0000,0000,0909,0909,0909,0306,0909,0809,0909,0909,0309,0809,0909,0809,0909,0910,0909,0809,0808,0000,1013,0909,0809,0909,0909,0909,0809,0000,0909,0512,0000,0913,0909,0309,0909,0808,0913,0109,0808,0809,0909,0910
244,0909,0913,0909,1010,0909,0912,0909,1010,0910,0000,0909,0909,0909,1717,0000,0909,0915,0409,0909,1212,0609,0912,0000,0000,1717,0909,0909,1414,0909,0000,0913,0909,0909,0909,0909,0909,0809,0909,0000,0509,0109,0910,0909,0909,0912,0916,0909,0909,1313,0309,0207,1717,0000,0909,0917,0909,0000,0909,0911,0000,0909,0909,0909,0415,1313,0101
245,0101,0000,0303,0103,0107,0307,0103,0303,0000,0305,0103,0101,0000,0103,0307,0101,0107,0101,0707,0107,0303,0505,0103,0103,0707,0000,0101,0000,0606,0303,0107,0303,0107,0202,0101,0303,0307,0103,0107,0303,0303,0909,0303,0303,0404,0303,0307,0707,0103,0000,0101,0000,0303,0000,0101,0107,0101,0707,0303,0303,0103,0105,0000,0307,0103,0707
248,1616,1920,1616,0000,1616,1616,1116,0000,1616,1616,1616,1417,0716,0000,1616,1616,1212,0000,1616,1616,1616,1216,1616,1216,0000,1216,1616,0216,1616,1616,1618,0816,1016,1316,0716,1616,1111,0716,1216,0716,1616,1616,1616,1616,1616,1616,0616,1616,0916,0505,1616,0116,1616,0316,1616,1617,1616,1616,1216,1616,1619,1616,0707,1619,0316,0707
251,0101,0101,0101,0102,0102,0103,0101,0101,0101,0102,0206,0102,0102,0102,0102,0101,0102,0204,0206,0102,0106,0102,0102,0101,0102,0101,0102,0102,0101,0101,0105,0102,0102,0102,0102,0102,0202,0102,0101,0205,0101,0101,0102,0101,0102,0102,0101,0101,0000,0102,0102,0101,0101,0106,0202,0102,0102,0101,0102,0101,0102,0102,0101,0101,0101,0102
253,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0204,0202,0202,0204,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0204,0202,0202,0202,0202,0202,0202,0202,0203,0202,0202,0202,0202,0202,0202,0204,0202,0202,0202,0202,0102,0202,0202,0204,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202
